artist_name,popularity
Julie,60
The Dare,60
Dayglow,65
JVKE,77
Girl in Red,77
Joey Bada$$,74
P1Harmony,64
BTS,87
Young Miko,80
Big Time Rush,65
Ice Spice,75
GloRilla,83
Ricky Montgomery,72
Between Friends,61
Nueve Lio,48
Fisher,78
Japanese Breakfast,58
Subtronics,65
Linkin Park,93
Fuerza Regida,91
Glass Animals,77
Flo Milli,74
Childish Gambino,81
Lucki,80
Any Kpop,90
William Black,55
Arctic Monkeys,88
Luke Chiang,64
NewJeans,82
JID,79
Remi Wolf,67
Zach Bryan,90
Bryson Tiller,83
Hatsune Miku,68
TOMORROW X TOGETHER,81
Thuy,65
Del Water Gap,63
Tyla,79
Lil Tecca,83
Fred again..,79
Dabin,58
Rex Orange County,76
Porter Robinson,65
Dom Dolla,72
Artist,12
Thee Sacred Souls,71
Tame Impala,81
Tinashe,73
Mac DeMarco,82
Kehlani,77
Victoria Monét,68
J. Cole,87
Lyn Lapid,64
Blxst,69
Jhene Aiko,80
Renee Rapp,69
New Jeans,82
Blood Orange,70
DPR Ian,68
Hozier,86
Troye Sivan,79
Peso Pluma,93
D4VD,82
Magdalena Bay,69
Doja Cat,87
Mike Sherm,68
Lizzy McAlpine,74
John Summit,74
Doechii,80
Pitbull,86
TV Girl,84
Baby Keem,78
Conan Gray,81
The Driver Era,59
Illenium,72
Taylor Swift,100
Lauv,77
IDK,59
Steve Lacy,83
Zedd,76
LE SSERAFIM,80
Frank Ocean,89
Chase Atlantic,84
Billie Eilish,96
Ken Carson,82
Kiss of Life,76
PinkPantheress,78
Kaytranada,73
isoxo,58
Brent Faiyaz,86
Faye Webster,74
isoknock,52
Role Model,68
JPEGMAFIA,69
Lana Del Rey,92
Kali Uchis,86
Joji,80
Omar Apollo,70
aespa,83
Knock2,63
Noah Kahan,86
Playboi Carti,90
Drake,97
Malcolm Todd,68
Olivia Rodrigo,88
Tate McRae,86
Daniel Caesar,87
The Weeknd,96
Charli XCX,87
NIKI,79
Travis Scott,94
Don Toliver,88
Dominic Fike,79
Clairo,82
Bruno Mars,96
Wallows,73
Gracie Abrams,91
SZA,93
Keshi,78
Kendrick Lamar,97
The Marías,81
Grent Perez,66
Wave to Earth,77
"Tyler, The Creator",93
Chappell Roan,88
Sabrina Carpenter,94
Beabadoobee,83
Katseye,74
Laufey,85
Lil Uzi Vert,86
A$AP Rocky,86
Yeat,83
Djo,76
Pierce the Veil,76
Flo,81
Rocco,63
PartyNextDoor,85
Still Woozy,68
Wasia Project,59
Kanye West,93
SEVENTEEN,81
bbno$,74
Cigarettes After Sex,87
The Strokes,78
KSI,71
SLANDER,67
Aminé,67
Vince Staples,70
COIN,61
Benson Boone,85
The Kid LAROI,85
Cuco,70
Denzel Curry,75
XG,73
Deftones,82
Karol G,91
Måneskin,80
The Chainsmokers,83
Set It Off,68
Suki Waterhouse,72
Friday Pilots Club,60
Destroy Lonely,75
Paramore,80
ATEEZ,76
Nav,68
Peach Pit,64
Khalid,85
Phoebe Bridgers,80
Men I Trust,72
Post Malone,90
Anderson .Paak,78
Weston Estate,54
Hojean,57
Rauw Alejandro,94
Junior H,91
Bad Bunny,96
Backseat Lovers,67
ENHYPEN,82
YOASOBI,77
Kesha,82
Rina Sawayama,59
Shawn Mendes,85
Cage the Elephant,76
Ravyn Lenae,63
Megan Thee Stallion,83
Jay Park,67
Dijon,60
Mitski,84
Flipturn,61
Future,93
Snow Strippers,69
Bladee,70
The Backseat Lovers,67
Yuno Miles,53
Smino,70
Metro Boomin,90
Stray Kids,88
Ian,72
Halsey,83
Kanye,93
Coldplay,91
ARMNHMR,48
Imagine Dragons,89
Finneas,71
Giveon,78
Jackson Wang,62
Alex G,78
Yung Lean,68
Jean Dawson,58
5 Seconds of Summer,77
21 Savage,89
Morgan Wallen,90
Bixby,58
Rich Brian,67
TWICE,82
Declan McKenna,68
SexyY Red,82
Teezo Touchdown,73
Stephen Sanchez,76
Feid,93
Lil Yachty,81
Maisie Peters,64
UMI,63
Jungle,75
mxmtoon,65
The Japanese House,63
DPR Live,60
Ski Mask the Slump God,73
Alice Phoebe Lou,64
Summer Walker,82
