index,count
laufey,143
katseye,135
beabadoobee,128
sabrina carpenter,128
chappell roan,125
tyler the creator,103
wave to earth,88
grentperez,86
the marias,83
kendrick lamar,82
keshi,79
sza,78
gracie abrams,78
wallows,69
bruno mars,64
clairo,62
dominic fike,61
don toliver,59
travis scott,52
niki,50
charli xcx,47
the weeknd,42
daniel caesar,41
tate mcrae,40
olivia rodrigo,40
malcolm todd,37
drake,37
playboi carti,35
noah kahan,35
knock2,34
aespa,34
omar apollo,33
joji,33
kali uchis,33
lana del rey,33
jpegmafia,33
role model,32
isoknock,31
faye webster,30
brent faiyaz,30
isoxo,29
kaytranada,28
pinkpantheress,28
kiss of life,27
ken carson,27
billie eilish,27
chase atlantic,25
frank ocean,25
le sserafim,25
zedd,25
steve lacy,25
idk,24
lauv,24
taylor swift,24
illenium,24
the driver era,24
conan gray,23
baby keem,23
tv girl,23
pitbull,22
doechii,22
john summit,21
lizzy mcalpine,21
mike sherm,21
doja cat,20
magdalena bay,20
d4vd,20
peso pluma,20
troye sivan,20
hozier,20
dpr ian,19
blood orange,19
new jeans,19
renee rapp,19
jhene aiko,19
blxst,19
lyn lapid,18
j cole,18
victoria monet,18
kehlani,17
mac demarco,17
tinashe,17
tame impala,17
thee sacred souls,17
artist,17
dom dolla,17
porter robinson,17
rex orange county,16
dabin,16
fred again,16
lil tecca,16
tyla,15
del water gap,15
thuy,15
tomorrow x together,15
hatsune miku,15
bryson tiller,15
zach bryan,15
remi wolf,15
jid,15
newjeans,14
luke chiang,14
arctic monkeys,14
william black,14
any kpop,14
lucki,14
childish gambino,14
flo milli,14
glass animals,14
fuerza regida,13
xg,13
denzel curry,13
cuco,13
the kid laroi,13
benson boone,13
coin,13
vince staples,13
amine,13
slander,13
ksi,12
the strokes,12
cigarettes after sex,12
bbno$,12
seventeen,12
kanye west,11
wasia project,11
still woozy,11
partynextdoor,11
rocco,11
flo,11
pierce the veil,11
djo,11
yeat,11
asap rocky,10
lil uzi vert,10
metro boomin,10
smino,10
yuno miles,10
the backseat lovers,10
bladee,10
snow strippers,10
future,10
flipturn,10
mitski,10
dijon,9
jay park,9
megan thee stallion,9
ravyn lenae,9
cage the elephant,9
shawn mendes,9
rina sawayama,9
kesha,9
yoasobi,9
enhypen,9
backseat lovers,9
bad bunny,9
junior h,9
rauw alejandro,9
hojean,8
weston estate,8
anderson paak,8
eaj,8
post malone,8
men i trust,8
phoebe bridgers,8
khalid,8
peach pit,8
nav,8
ateez,8
paramore,8
destroy lonely,8
friday pilots club,8
suki waterhouse,7
set it off,7
the chainsmokers,7
maneskin,7
karol g,7
deftones,7
linkin park,7
subtronics,7
japanese breakfast,7
fisher,7
nueve lio,7
between friends,7
ricky montgomery,7
glorilla,7
ice spice,7
big time rush,7
2hollis,7
young miko,7
bts,7
p1harmony,7
joey bada$$,7
girl in red,7
jvke,7
dayglow,7
the dare,7
julie,7
stray kids,7
ian,7
halsey,7
kanye,7
coldplay,6
armnhmr,6
imagine dragons,6
finneas,6
giveon,6
jackson wang,6
alex g,6
yung lean,6
jean dawson,6
5 seconds of summer,6
21 savage,6
morgan wallen,6
bixby,6
rich brian,6
twice,6
declan mckenna,6
sexyy red,6
teezo touchdown,6
stephen sanchez,6
feid,6
lil yachty,6
maisie peters,6
umi,6
jungle,6
mxmtoon,5
the japanese house,5
dpr live,5
half alive,5
ski mask the slump god,5
