index,count
katseye,78
malcolm todd,64
the marias,43
wave to earth,43
gracie abrams,39
chappell roan,38
grentperez,38
laufey,37
beabadoobee,34
rocco,34
luke chiang,32
role model,31
lyn lapid,26
bixby,25
thuy,25
wasia project,24
keshi,23
faye webster,23
clairo,22
kiss of life,22
lizzy mcalpine,22
d4vd,21
2hollis,20
regina song,20
hojean,19
dhruv,18
tate mcrae,18
pryvt,17
magdalena bay,17
illit,17
weston estate,17
tiffany day,17
between friends,16
knock2,16
thee sacred souls,16
remi wolf,16
alice phoebe lou,16
umi,15
ken carson,15
del water gap,15
starfall,15
sabrina carpenter,15
niki,15
dominic fike,15
yuno miles,15
drake,15
dpr ian,14
nueve lio,14
?,14
ruel,13
gigi perez,13
tv girl,13
orion sun,13
luna li,13
wallows,13
maisie peters,13
doechii,13
mico,13
xg,13
the driver era,12
omar apollo,12
men i trust,12
noah kahan,12
flipturn,12
flo,12
benson boone,12
destroy lonely,12
mike sherm,12
raveena,12
aaron may,12
eaj,12
mkgee,12
isoxo,11
blood orange,11
rachel chinouriri,11
julie,11
bryant barnes,11
ian,11
jpegmafia,11
laundry day,11
still woozy,11
the kid laroi,11
suki waterhouse,10
jordan ward,10
sunkis,10
leon thomas,10
peach pit,10
rini,10
hybs,10
daniel seavey,10
sarah kinsley,10
cuco,9
emei,9
glaive,9
addison rae,9
christian kuria,9
pinkpantheress,9
none,9
bibi,9
kehlani,9
victoria monet,9
ericdoa,9
lucki,8
djo,8
ravyn lenae,8
don toliver,8
rina sawayama,8
ksi,8
hotel ugly,8
chase atlantic,8
amelia moore,8
almost monday,8
aespa,8
lauv,8
mxmtoon,8
denzel curry,8
matt maltese,7
maude latour,7
joji,7
bruno mars,7
young miko,7
conan gray,7
goth babe,7
benee,7
avenoir,7
taylor swift,7
snow strippers,7
khamari,7
i don’t know,7
raye,7
destin conrad,7
summer salt,7
fly by midnight,7
gemini,7
megan moroney,7
sasha alex sloan,7
isoknock,7
wisp,7
inhaler,7
amaarae,7
the dare,7
katherine li,7
the crane wives,7
dijon,7
blxst,7
porter robinson,7
keenan te,6
"the army, the navy",6
tyla,6
mitski,6
brakence,6
benches,6
foxtide,6
sofia isella,6
bakar,6
matthew ifield,6
mac ayres,6
eric nam,6
leith ross,6
jungle,6
jvke,6
artemas,6
emotional oranges,6
jeremy zucker,6
latin mafia,6
jean dawson,6
junny,6
alex warren,6
xavi,6
the japanese house,6
the wrecks,6
the backseat lovers,6
hatsune miku,6
joshua bassett,6
kanye west,6
late night drive home,6
shygirl,6
jeff bernat,6
cigarettes after sex,6
sarah kang,6
cleo sol,6
the beaches,6
big thief,6
no candy,6
ricky montgomery,6
griff,6
seventeen,6
renee rapp,6
yel,5
nettspend,5
william black,5
rex orange county,5
hippo campus,5
adela,5
chevy,5
ivan cornejo,5
ginger root,5
tiny habits,5
the last dinner party,5
saint levant,5
joey bada$$,5
surf curse,5
japanese breakfast,5
new jeans,5
hunny,5
finneas,5
dunno,5
chicano batman,5
4batz,5
peso pluma,5
smino,5
aidan bissett,5
dreamer isioma,5
yung kai,5
ethel cain,5
yena,5
matt hansen,5
it's murph,5
osamason,5
kaytranada,5
set it off,5
isaiah rashad,5
montell fish,5
54 ultra,5
olivia dean,5
teezo touchdown,5
bbno$,5
eloise,5
lucky daye,5
glorilla,5
hyejin,5
glass animals,5
coin,5
jackson wang,5
maggie rogers,5
kendrick lamar,5
kali uchis,5
eyedress,5
myles smith,5
denise julia,5
pitbull,5
warren hue,5
bini,4
little simz,4
yves tumor,4
zack tabudlo,4
tems,4
le sserafim,4
charisse chua,4
mike,4
odetari,4
bryson tiller,4
mon laferte,4
boynextdoor,4
kiana lede,4
the rose,4
kikuo,4
jhariah,4
olivia rodrigo,4
panchiko,4
jomm,4
the weeknd,4
declan mckenna,4
dannylux,4
frank ocean,4
friday pilots club,4
claire rosinkranz,4
indigo de souza,4
lexa gates,4
quarters of change,4
yeat,4
fiji blue,4
ag club,4
hope tala,4
dayglow,4
no idea,4
john summit,4
redveil,4
baby keem,4
milena,4
elmiene,4
billie eilish,4
jesse barrera,4
underscores,4
loossemble,4
jelani aryeh,4
i,4
holly humberstone,4
lamp,4
audrey nuna,4
rawayana,4
rc avenue,4
mind shrine,4
tame impala,4
sza,4
fred again,4
isabel larosa,4
public library commute,4
lucy,4
aldn,4
lauren spencer smith,4
knox,4
ha vay,4
tyler the creator,4
mustard service,4
sir,4
vaultboy,4
darci,4
alexander stewart,4
tommy richman,4
jimmy brown,4
chino pacas,4
troye sivan,4
fontaines d.c.,4
twice,4
ryan beatty,4
seori,4
the red pears,4
infinity song,4
bladee,4
david kushner,4
jkrs collective,4
dean blunt,4
quadeca,4
good kid,4
ley soul,4
daniel caesar,4
childish gambino,4
the millennial club,4
sundial,4
honne,4
triples,4
stray kids,4
vince staples,4
crankdat,4
ichiko aoba,4
stephen sanchez,4
lany,4
royel otis,4
ice spice,4
good boy daisy,4
mochakk,3
ecco2k,3
yetep,3
beach bunny,3
starset,3
dj mandy,3
towa bird,3
any up and coming country artists,3
dean lewis,3
nessa barrett,3
travis scott,3
yeek,3
riize,3
quinnie,3
don’t really know anyone,3
lancey foux,3
willow,3
tana,3
dabin,3
gunna,3
luna luna,3
ariana grande,3
lolo zouai,3
the alton’s,3
rhyu,3
sobs,3
mark ambor,3
weyes blood,3
jenevieve,3
alaina castillo,3
re6ce,3
sun room,3
hemlocke springs,3
greer,3
second thoughts,3
brent faiyaz,3
chyl,3
jane remover,3
slchld,3
the hellp,3
dn,3
maye,3
schoolboy q,3
che ecru,3
hoang,3
vansire,3
molly santana,3
muni long,3
arctic monkeys,3
nuevo lio,3
qwer,3
corbyn besson,3
vortxz,3
same,3
vacations,3
polyphia,3
fuerza regida,3
amaria,3
mau p,3
wang ok,3
alex g,3
loona,3
rl grime,3
nive,3
tiger del flor,3
kwon eunbi,3
aurora,3
isaac dunbar,3
kanii,3
cafune,3
wolf alice,3
eden,3
cris mj,3
mike dimes,3
love spells,3
eurovision,3
the walters,3
bren joy,3
mt joy,3
keni titus,3
dean,3
riovaz,3
take van,3
kidsnot$aints,3
jid,3
sammy rae and the friends,3
shaboozey,3
teo glacier,3
whichever,3
the aces,3
the internet,3
the frights,3
